client_id,invoice_date,tarif_type,counter_number,counter_statue,counter_code,reading_remarque,counter_coefficient,consommation_level_1,consommation_level_2,consommation_level_3,consommation_level_4,old_index,new_index,months_number,counter_type
test_Client_0,3/16/2018,11,651208,0,203,8,1,755,0,0,0,19145,19900,8,ELEC
test_Client_0,3/21/2014,11,651208,0,203,8,1,1067,0,0,0,13725,14792,8,ELEC
test_Client_0,7/17/2014,11,651208,0,203,8,1,0,0,0,0,14792,14792,4,ELEC
test_Client_0,7/13/2015,11,651208,0,203,9,1,410,0,0,0,16122,16532,4,ELEC
test_Client_0,7/19/2016,11,651208,0,203,9,1,412,0,0,0,17471,17883,4,ELEC
test_Client_0,11/22/2012,11,651208,0,203,6,1,578,0,0,0,12254,12832,4,ELEC
test_Client_0,11/22/2018,11,651208,0,203,8,1,1090,0,0,0,19900,20990,8,ELEC
test_Client_0,7/23/2019,11,651208,0,203,6,1,329,0,0,0,21348,21677,4,ELEC
test_Client_0,3/24/2008,11,651208,0,203,6,1,364,0,0,0,6439,6803,4,ELEC
test_Client_0,11/16/2011,11,651208,0,203,6,1,462,0,0,0,10940,11402,4,ELEC
test_Client_0,11/17/2009,11,651208,0,203,6,1,453,0,0,0,8428,8881,4,ELEC
test_Client_0,3/21/2019,11,651208,0,203,6,1,358,0,0,0,20990,21348,4,ELEC
test_Client_0,7/17/2017,11,651208,0,203,8,1,314,0,0,0,18831,19145,4,ELEC
test_Client_0,11/17/2016,11,651208,0,203,9,1,509,0,0,0,17883,18392,4,ELEC
test_Client_0,3/18/2016,11,651208,0,203,8,1,939,0,0,0,16532,17471,8,ELEC
test_Client_0,3/23/2015,11,651208,0,203,9,1,410,0,0,0,15712,16122,4,ELEC
test_Client_0,11/21/2014,11,651208,0,203,9,1,800,120,0,0,14792,15712,4,ELEC
test_Client_0,7/15/2013,11,651208,0,203,6,1,406,0,0,0,13319,13725,4,ELEC
test_Client_0,3/22/2013,11,651208,0,203,6,1,487,0,0,0,12832,13319,4,ELEC
test_Client_0,3/19/2012,11,651208,0,203,6,1,388,0,0,0,11402,11790,4,ELEC
test_Client_0,7/18/2011,11,651208,0,203,6,1,401,0,0,0,10539,10940,4,ELEC
test_Client_0,7/16/2012,11,651208,0,203,6,1,464,0,0,0,11790,12254,4,ELEC
test_Client_0,12/11/2010,11,651208,0,203,6,1,465,0,0,0,9612,10077,4,ELEC
test_Client_0,3/23/2007,11,651208,0,203,6,1,284,0,0,0,4452,4736,4,ELEC
test_Client_0,11/20/2006,11,651208,0,203,6,1,428,0,0,0,4024,4452,4,ELEC
test_Client_0,7/21/2006,11,651208,0,203,6,1,366,0,0,0,3658,4024,4,ELEC
test_Client_0,3/27/2006,11,651208,0,203,6,1,275,0,0,0,3383,3658,2,ELEC
test_Client_0,12/16/2005,11,651208,0,203,6,1,326,0,0,0,3057,3383,4,ELEC
test_Client_0,7/20/2007,11,651208,0,203,9,1,807,0,0,0,4736,5543,4,ELEC
test_Client_0,11/20/2007,11,651208,0,203,6,1,896,0,0,0,5543,6439,4,ELEC
test_Client_0,11/17/2008,11,651208,0,203,6,1,435,0,0,0,7156,7591,4,ELEC
test_Client_0,7/17/2008,11,651208,0,203,6,1,353,0,0,0,6803,7156,4,ELEC
test_Client_0,3/24/2009,11,651208,0,203,6,1,422,0,0,0,7591,8013,4,ELEC
test_Client_0,7/20/2009,11,651208,0,203,6,1,415,0,0,0,8013,8428,4,ELEC
test_Client_0,3/22/2010,11,651208,0,203,6,1,371,0,0,0,8881,9252,4,ELEC
test_Client_0,7/15/2010,11,651208,0,203,6,1,360,0,0,0,9252,9612,4,ELEC
test_Client_0,3/24/2011,11,651208,0,203,6,1,462,0,0,0,10077,10539,4,ELEC
test_Client_1,4/30/2018,11,174760,0,433,9,1,800,400,180,0,49079,50459,4,ELEC
test_Client_1,6/5/2010,11,174760,0,433,6,1,1200,1568,0,0,2431,5199,4,ELEC
test_Client_1,10/9/2019,11,174760,0,433,8,1,11,0,0,0,55213,55224,2,ELEC
test_Client_1,7/5/2013,11,174760,0,433,6,1,600,146,0,0,27545,28291,2,ELEC
test_Client_1,8/1/2016,11,174760,0,433,8,1,1600,789,0,0,38680,41069,8,ELEC
test_Client_1,7/9/2009,11,174760,1,433,6,1,600,193,0,0,7,800,2,ELEC
test_Client_1,8/1/2010,11,174760,0,433,6,1,1200,431,0,0,800,2431,4,ELEC
test_Client_1,8/1/2018,11,174760,0,433,9,1,800,400,458,0,47421,49079,4,ELEC
test_Client_1,8/30/2010,11,174760,0,433,6,1,1200,1325,0,0,5199,7724,4,ELEC
test_Client_1,7/9/2011,11,174760,0,433,8,1,1200,1393,0,0,13123,15716,4,ELEC
test_Client_1,8/29/2017,11,174760,0,433,9,1,800,400,63,0,46158,47421,4,ELEC
test_Client_1,2/5/2017,11,174760,0,433,9,1,800,400,387,0,44571,46158,4,ELEC
test_Client_1,6/1/2017,11,174760,0,433,9,1,400,200,71,0,43900,44571,2,ELEC
test_Client_1,1/9/2016,11,174760,0,433,9,1,800,400,800,12899,42184,57083,4,ELEC
test_Client_1,2/5/2016,11,174760,0,433,8,1,800,315,0,0,41069,42184,4,ELEC
test_Client_1,5/5/2015,11,174760,0,433,8,1,800,234,0,0,37646,38680,4,ELEC
test_Client_1,9/1/2015,11,174760,0,433,8,1,800,400,261,0,36185,37646,4,ELEC
test_Client_1,4/9/2014,11,174760,0,433,8,1,1600,800,1144,0,32641,36185,8,ELEC
test_Client_1,10/5/2011,11,174760,0,433,6,1,2400,2999,0,0,7724,13123,8,ELEC
test_Client_1,7/1/2014,11,174760,0,433,8,1,800,400,647,0,30794,32641,4,ELEC
